pmpaddr53      [0x3e5] = 0x0000000000000000
pmpaddr54      [0x3e6] = 0x0000000000000000
pmpaddr55      [0x3e7] = 0x0000000000000000
pmpaddr56      [0x3e8] = 0x0000000000000000
pmpaddr57      [0x3e9] = 0x0000000000000000
pmpaddr58      [0x3ea] = 0x0000000000000000
pmpaddr59      [0x3eb] = 0x0000000000000000
pmpaddr60      [0x3ec] = 0x0000000000000000
pmpaddr61      [0x3ed] = 0x0000000000000000
pmpaddr62      [0x3ee] = 0x0000000000000000
pmpaddr63      [0x3ef] = 0x0000000000000000
scontext       [0x5a8] = 0x0000000000000000
hstatus        [0x600] = 0x0000000200000000
hedeleg        [0x602] = 0x0000000000000000
hideleg        [0x603] = 0x0000000000000000
hie            [0x604] = 0x0000000000000000
htimedelta     [0x605] = 0x0000000000000000
hcounteren     [0x606] = 0x0000000000000000
hgeie          [0x607] = 0x0000000000000000
henvcfg        [0x60a] = 0x0000000000000000
htval          [0x643] = 0x0000000000000000
hip            [0x644] = 0x0000000000000000
hvip           [0x645] = 0x0000000000000000
htinst         [0x64a] = 0x0000000000000000
hgatp          [0x680] = 0x0000000000000000
hcontext       [0x6a8] = 0x0000000000000000
mseccfg        [0x747] = 0x0000000000000000
tselect        [0x7a0] = 0x0000000000000000
tdata1         [0x7a1] = 0xf000000000000000
tdata2         [0x7a2] = 0x0000000000000000
tdata3         [0x7a3] = 0x0000000000000000
tinfo          [0x7a4] = 0x000000000000807c
mcontext       [0x7a8] = 0x0000000000000000
dcsr           [0x7b0] = 0x0000000040000000
dpc            [0x7b1] = 0x0000000000000000
dscratch0      [0x7b2] = 0x0000000000000000
dscratch1      [0x7b3] = 0x0000000000000000
mcycle         [0xb00] = 0x0000000000000000
minstret       [0xb02] = 0x0000000000000000
mhpmcounter3   [0xb03] = 0x0000000000000000
mhpmcounter4   [0xb04] = 0x0000000000000000
mhpmcounter5   [0xb05] = 0x0000000000000000
mhpmcounter6   [0xb06] = 0x0000000000000000
mhpmcounter7   [0xb07] = 0x0000000000000000
mhpmcounter8   [0xb08] = 0x0000000000000000
mhpmcounter9   [0xb09] = 0x0000000000000000
mhpmcounter10  [0xb0a] = 0x0000000000000000
mhpmcounter11  [0xb0b] = 0x0000000000000000
mhpmcounter12  [0xb0c] = 0x0000000000000000
mhpmcounter13  [0xb0d] = 0x0000000000000000
mhpmcounter14  [0xb0e] = 0x0000000000000000
mhpmcounter15  [0xb0f] = 0x0000000000000000
mhpmcounter16  [0xb10] = 0x0000000000000000
mhpmcounter17  [0xb11] = 0x0000000000000000
mhpmcounter18  [0xb12] = 0x0000000000000000
mhpmcounter19  [0xb13] = 0x0000000000000000
mhpmcounter20  [0xb14] = 0x0000000000000000
mhpmcounter21  [0xb15] = 0x0000000000000000
mhpmcounter22  [0xb16] = 0x0000000000000000
mhpmcounter23  [0xb17] = 0x0000000000000000
mhpmcounter24  [0xb18] = 0x0000000000000000
mhpmcounter25  [0xb19] = 0x0000000000000000
mhpmcounter26  [0xb1a] = 0x0000000000000000
mhpmcounter27  [0xb1b] = 0x0000000000000000
mhpmcounter28  [0xb1c] = 0x0000000000000000
mhpmcounter29  [0xb1d] = 0x0000000000000000
mhpmcounter30  [0xb1e] = 0x0000000000000000
mhpmcounter31  [0xb1f] = 0x0000000000000000
vl             [0xc20] = 0x0000000000000000
vtype          [0xc21] = 0x8000000000000000
vlenb          [0xc22] = 0x0000000000000010
hgeip          [0xe12] = 0x0000000000000000
mvendorid      [0xf11] = 0x0000000000000000
marchid        [0xf12] = 0x0000000000000005
mimpid         [0xf13] = 0x0000000000000000
mhartid        [0xf14] = 0x0000000000000000
mconfigptr     [0xf15] = 0x0000000000000000
